255
78,90,81,255
78,92,85,255
75,93,87,255
74,89,88,255
78,89,88,255
75,91,90,255
78,91,89,255
76,87,93,255
78,89,91,255
77,89,88,255
74,86,90,255
76,88,88,255
78,85,88,255
77,87,90,255
77,84,87,255
75,87,92,255
77,88,91,255
77,84,89,255
76,85,91,255
76,86,91,255
78,87,90,255
77,88,92,255
70,89,90,255
61,92,91,91
56,90,92,93
62,90,93,90
61,89,89,92
63,87,92,92
59,86,89,91
61,88,91,91
63,87,92,89
64,88,89,92
62,86,90,91
66,86,90,92
66,84,90,90
81,85,88,92
76,84,90,90
74,85,89,90
74,83,89,91
74,84,93,90
74,84,91,93
72,84,88,91
76,83,87,89
73,83,87,89
77,84,87,91
77,83,86,91
80,84,86,91
81,83,87,93
81,84,86,88
81,84,85,91
82,85,84,90
81,86,86,91
81,83,83,87
80,83,84,89
81,81,82,85
84,84,85,82
82,83,82,82
81,83,85,82
80,84,81,84
83,84,85,82
81,84,85,85
82,84,88,91
85,84,89,84
80,82,87,89
79,86,90,92
82,81,90,93
81,83,91,95
82,82,90,91
79,83,87,91
81,82,89,90
81,82,88,255
83,84,88,255
82,84,90,85
82,85,89,90
81,82,85,255
82,84,84,91
83,84,87,93
87,86,84,93
83,84,82,91
82,87,84,91
80,85,81,90
83,86,82,91
81,86,82,89
82,87,82,92
82,86,80,90
81,90,86,89
82,85,85,90
84,87,87,88
82,91,86,88
81,88,89,89
81,89,90,85
81,91,88,85
80,87,89,84
80,94,92,86
81,90,91,86
83,91,90,84
81,92,89,85
80,90,90,85
80,89,89,85
81,90,89,83
80,90,89,84
79,90,88,83
79,88,89,81
76,91,88,84
76,87,89,83
77,85,87,81
74,85,89,87
72,85,85,84
72,85,86,82
70,83,85,86
72,84,85,73
83,82,84,68
72,82,84,64
60,82,83,61
43,84,86,36
39,80,84,34
1,83,87,36
16,82,88,8
18,83,88,15
8,81,88,48
0,83,87,26
6,84,87,17
4,87,87,37
23,85,90,255
15,83,92,255
21,81,89,255
30,82,90,255
0,82,91,255
44,85,89,255
48,84,88,255
46,87,89,255
56,84,88,255
53,86,87,255
24,83,89,255
18,84,86,255
29,83,90,92
53,84,89,88
54,83,87,89
75,84,89,91
74,86,87,88
69,83,87,92
73,83,86,93
76,82,87,94
75,84,85,92
77,84,85,91
78,84,84,91
77,82,83,90
79,85,83,93
78,84,83,91
78,83,82,93
80,82,81,92
80,83,83,90
80,85,81,93
81,82,83,91
80,85,81,93
79,85,81,90
83,84,81,93
83,87,82,93
83,84,80,92
83,87,82,91
79,88,82,91
83,88,80,90
83,88,83,88
81,87,84,90
83,89,87,89
83,88,86,89
82,90,85,90
80,88,86,89
80,89,89,86
84,88,87,88
81,89,91,86
80,90,90,87
81,89,90,93
82,94,91,83
82,90,90,77
83,91,92,81
82,90,92,70
83,88,90,41
82,90,89,57
80,91,90,36
82,90,89,28
83,86,91,255
80,88,91,255
80,85,91,255
83,89,90,54
82,90,89,39
81,89,87,255
81,87,88,255
82,88,88,255
82,87,89,255
82,90,86,255
81,90,85,83
82,86,83,83
82,89,81,85
82,91,85,84
81,91,83,85
82,89,82,85
81,91,81,84
82,90,80,83
