47
64,78,77,63
66,77,75,70
69,78,76,74
66,77,73,72
67,76,73,74
64,78,72,74
64,76,68,75
63,77,73,75
65,76,71,75
65,78,70,75
62,77,69,75
66,77,72,75
62,78,70,76
60,77,69,75
59,75,69,77
62,76,71,77
59,78,70,78
61,77,70,74
63,78,71,75
68,80,71,76
71,75,74,76
75,75,74,74
80,76,75,74
90,78,75,73
89,74,75,74
89,75,76,74
88,76,76,76
74,76,79,75
48,74,78,75
26,72,80,75
41,73,78,75
25,74,79,75
33,75,79,73
35,72,78,74
26,72,75,75
29,71,78,74
14,71,78,74
29,74,78,74
29,73,78,73
29,72,77,74
43,73,78,74
39,76,79,76
49,74,77,75
54,75,78,72
49,77,78,72
63,79,79,72
67,78,77,68
59,81,77,72
60,81,78,72
59,78,79,74
60,78,80,79
60,78,79,65
61,80,78,42
59,79,81,29
60,81,81,32
60,78,77,11
62,80,77,46
59,75,77,46
56,79,79,49
59,78,77,59
60,78,74,67
61,77,72,68
62,78,74,68
61,80,73,60
59,77,74,66
57,76,72,61
57,78,73,53
59,81,71,52
60,79,68,60
60,76,70,52
60,76,69,40
62,76,70,38
65,78,70,43
70,79,71,48
74,77,70,21
76,76,70,24
76,79,68,26
73,79,69,45
82,78,71,46
70,76,70,42
76,75,71,19
66,75,71,41
77,76,69,72
87,73,71,43
72,75,72,31
78,77,70,50
81,75,68,54
74,75,69,45
64,75,70,57
66,76,70,51
75,77,70,58
69,75,70,72
75,76,72,89
71,76,69,102
71,77,68,110
60,75,69,108
57,76,70,105
63,78,71,108
58,76,70,111
58,77,69,101
63,75,72,106
57,77,71,116
52,76,74,109
55,73,76,116
60,73,78,86
56,72,77,255
59,74,78,255
64,71,78,255
58,71,77,255
57,70,75,255
66,71,79,255
63,67,80,255
62,70,79,255
61,73,80,255
62,72,81,255
58,74,80,255
34,72,75,255
49,73,82,255
51,79,79,255
61,77,80,255
69,79,78,73
64,81,79,88
65,79,77,87
72,77,80,85
73,78,81,87
72,80,80,86
80,75,79,80
77,76,77,79
74,77,78,77
66,76,78,80
63,77,76,76
57,76,78,75
58,77,76,77
65,77,78,74
61,76,75,75
61,77,77,77
63,77,73,76
65,75,76,76
65,75,74,73
67,75,75,77
70,74,74,78
70,75,71,79
67,74,75,78
70,74,71,80
70,73,72,79
66,75,72,77
72,74,72,76
70,73,71,79
69,74,69,77
68,73,72,77
69,74,70,77
71,73,71,80
71,74,72,78
71,73,70,75
70,73,71,75
69,74,70,74
68,75,70,74
70,72,70,75
72,73,70,71
71,73,73,72
71,73,70,72
69,74,71,75
71,72,73,81
67,75,77,86
70,72,74,84
72,70,77,88
70,72,78,95
72,73,78,95
69,70,79,94
71,72,78,90
69,72,78,90
69,73,79,87
68,71,77,84
71,72,75,80
69,72,76,78
70,74,74,77
70,75,74,78
69,74,71,78
71,74,73,78
71,73,73,77
72,75,74,78
69,76,76,80
70,76,75,79
70,74,74,78
71,77,75,79
71,75,75,80
72,76,75,79
71,80,78,80
68,78,77,79
71,76,78,81
70,77,78,79
72,77,78,78
72,78,79,80
70,78,78,81
68,77,75,77
71,77,78,77
69,78,79,77
74,80,77,77
69,76,75,76
